match_id,participant_id,pc1,pc2,pc3
EUW1_7608864737,1,2.168824,-0.756094,0.716025
EUW1_7608864737,2,-0.348171,0.348235,1.954756
EUW1_7608864737,3,0.220875,-1.271104,-0.488171
EUW1_7608864737,4,0.647169,0.545248,-1.07083
EUW1_7608864737,5,-1.589289,-1.629146,-0.032452
EUW1_7608864737,6,1.192472,0.114965,-0.856142
EUW1_7608864737,7,-1.015055,4.511224,0.741842
EUW1_7608864737,8,0.275353,0.734105,-0.663045
EUW1_7608864737,9,-0.37569,-1.61794,0.00426
EUW1_7608864737,10,-2.824748,-0.80902,-0.805782
EUW1_7608889097,1,0.549476,0.123813,-0.49387
EUW1_7608889097,2,-1.98077,1.897509,1.329098
EUW1_7608889097,3,1.619076,0.252942,-0.191826
EUW1_7608889097,4,-0.842401,1.456142,-1.867004
EUW1_7608889097,5,-2.669941,-0.706542,-0.742221
EUW1_7608889097,6,1.509307,-0.613648,-0.141533
EUW1_7608889097,7,-0.276928,0.778936,1.600813
EUW1_7608889097,8,1.723787,-0.472677,-0.018393
EUW1_7608889097,9,-0.355594,-0.984705,-0.939518
EUW1_7608889097,10,-1.328452,-1.71903,-0.023255
EUW1_7608894771,1,2.843058,-0.14969,0.105013
EUW1_7608894771,2,-0.656313,2.320617,2.07654
EUW1_7608894771,3,1.632361,-0.435846,-0.372193
EUW1_7608894771,4,0.732682,-0.146572,-0.301154
EUW1_7608894771,5,-2.212195,-1.957165,-0.083326
EUW1_7608894771,6,1.088807,-1.907482,1.169855
EUW1_7608894771,7,-0.366593,1.488356,2.646236
EUW1_7608894771,8,2.195303,-0.971994,-0.22663
EUW1_7608894771,9,0.922675,-1.03661,-0.410548
EUW1_7608894771,10,-1.510377,-1.132813,0.56155
EUW1_7608896647,1,2.709584,0.329212,0.179045
EUW1_7608896647,2,-0.659503,0.887186,2.295058
EUW1_7608896647,3,2.07264,-0.879703,-0.189695
EUW1_7608896647,4,0.451594,-0.969031,-0.402531
EUW1_7608896647,5,-1.712469,-2.177895,0.116322
EUW1_7608896647,6,0.77242,-0.076126,-0.241821
EUW1_7608896647,7,-1.107524,2.719328,0.776118
EUW1_7608896647,8,1.567286,0.466027,-1.343175
EUW1_7608896647,9,0.110692,1.422192,-1.148743
EUW1_7608896647,10,-2.764636,-1.12198,-0.509729
EUW1_7608903374,1,1.763003,-0.536265,0.115441
EUW1_7608903374,2,-1.055592,2.155769,1.460054
EUW1_7608903374,3,1.750756,-0.731505,-0.037986
EUW1_7608903374,4,0.700484,0.920136,-0.93569
EUW1_7608903374,5,-2.017011,-0.764589,-0.845842
EUW1_7608903374,6,3.264542,1.616832,-0.58636
EUW1_7608903374,7,-1.293534,3.15728,1.022107
EUW1_7608903374,8,0.30631,0.51144,-1.538982
EUW1_7608903374,9,0.650545,-0.24235,-1.083256
EUW1_7608903374,10,-2.847812,-1.452037,-1.397252
EUW1_7608905521,1,1.6259,-1.136984,-0.293653
EUW1_7608905521,2,0.016951,1.357069,2.46716
EUW1_7608905521,3,1.011219,-1.002901,-0.523756
EUW1_7608905521,4,-0.206729,0.207302,-0.412357
EUW1_7608905521,5,-2.289776,-0.799918,0.244344
EUW1_7608905521,6,2.002433,-0.094205,-0.244847
EUW1_7608905521,7,-0.641835,0.495422,1.605839
EUW1_7608905521,8,2.088017,0.924776,-0.741568
EUW1_7608905521,9,1.00297,-0.199305,-0.708365
EUW1_7608905521,10,-1.292058,0.509816,-0.576841
EUW1_7608907163,1,1.741117,-0.533687,-0.658186
EUW1_7608907163,2,-0.305889,0.997785,1.32316
EUW1_7608907163,3,0.783509,0.062396,-0.706927
EUW1_7608907163,4,-0.607726,-1.441915,-0.971846
EUW1_7608907163,5,-2.766891,-1.823818,-0.711468
EUW1_7608907163,6,1.5115,0.232162,-0.444141
EUW1_7608907163,7,-2.007848,2.813097,0.220324
EUW1_7608907163,8,1.540247,2.416411,-1.609772
EUW1_7608907163,9,0.225607,1.570246,-2.406605
EUW1_7608907163,10,-3.194926,-0.096584,-1.753721
EUW1_7608913572,1,2.52509,1.834156,-0.876622
EUW1_7608913572,2,-2.34213,2.153394,1.781776
EUW1_7608913572,3,1.391971,2.079593,-0.756924
EUW1_7608913572,4,0.042658,-0.304729,-0.665477
EUW1_7608913572,5,-2.412368,0.015967,-0.614177
